year,month,rain_mm
2019,10,13.299999999999999
2019,11,16.1
2019,12,198.39999999999972
2020,1,257.59999999999906
2020,2,91.30000000000011
2020,3,72.10000000000002
2020,4,31.500000000000018
2020,5,15.799999999999994
2020,6,0.0
2020,7,0.0
2020,8,0.0
2020,9,0.0
2020,10,0.0
2020,11,170.59999999999988
2020,12,217.89999999999986
2021,1,139.09999999999977
2021,2,102.29999999999997
2021,3,29.60000000000002
2021,4,14.999999999999996
2021,5,0.0
