date,rain_mm,rain_mm_cumsum
2019-10-14,0.0,0.0
2019-10-15,2.2,2.2
2019-10-16,0.0,2.2
2019-10-17,0.0,2.2
2019-10-18,0.0,2.2
2019-10-19,0.0,2.2
2019-10-20,0.0,2.2
2019-10-21,0.0,2.2
2019-10-22,0.0,2.2
2019-10-23,0.1,2.3000000000000003
2019-10-24,1.1,3.4000000000000004
2019-10-25,0.0,3.4000000000000004
2019-10-26,0.0,3.4000000000000004
2019-10-27,0.0,3.4000000000000004
2019-10-28,3.6,7.0
2019-10-29,6.299999999999999,13.299999999999999
2019-10-30,0.0,13.299999999999999
2019-10-31,0.0,13.299999999999999
2019-11-01,0.0,13.299999999999999
2019-11-02,0.0,13.299999999999999
2019-11-03,0.0,13.299999999999999
2019-11-04,0.0,13.299999999999999
2019-11-05,0.0,13.299999999999999
2019-11-06,0.0,13.299999999999999
2019-11-07,0.0,13.299999999999999
2019-11-08,0.0,13.299999999999999
2019-11-09,0.0,13.299999999999999
2019-11-10,0.0,13.299999999999999
2019-11-11,0.0,13.299999999999999
2019-11-12,0.0,13.299999999999999
2019-11-13,0.0,13.299999999999999
2019-11-14,0.0,13.299999999999999
2019-11-15,16.1,29.4
2019-11-16,0.0,29.4
2019-11-17,0.0,29.4
2019-11-18,0.0,29.4
2019-11-19,0.0,29.4
2019-11-20,0.0,29.4
2019-11-21,0.0,29.4
2019-11-22,0.0,29.4
2019-11-23,0.0,29.4
2019-11-24,0.0,29.4
2019-11-25,0.0,29.4
2019-11-26,0.0,29.4
2019-11-27,0.0,29.4
2019-11-28,0.0,29.4
2019-11-29,0.0,29.4
2019-11-30,0.0,29.4
2019-12-01,4.199999999999999,33.599999999999994
2019-12-02,0.5,34.099999999999994
2019-12-03,0.0,34.099999999999994
2019-12-04,0.0,34.099999999999994
2019-12-05,5.1,39.199999999999996
2019-12-06,0.0,39.199999999999996
2019-12-07,0.0,39.199999999999996
2019-12-08,10.199999999999996,49.39999999999999
2019-12-09,11.099999999999998,60.499999999999986
2019-12-10,5.2,65.69999999999999
2019-12-11,0.0,65.69999999999999
2019-12-12,10.199999999999998,75.89999999999999
2019-12-13,11.2,87.1
2019-12-14,0.0,87.1
2019-12-15,0.0,87.1
2019-12-16,0.0,87.1
2019-12-17,0.0,87.1
2019-12-18,0.0,87.1
2019-12-19,0.0,87.1
2019-12-20,0.0,87.1
2019-12-21,0.0,87.1
2019-12-22,0.0,87.1
2019-12-23,0.0,87.1
2019-12-24,0.0,87.1
2019-12-25,57.30000000000001,144.4
2019-12-26,64.40000000000002,208.8
2019-12-27,9.799999999999997,218.60000000000002
2019-12-28,6.700000000000001,225.3
2019-12-29,0.1,225.4
2019-12-30,2.4000000000000004,227.8
2019-12-31,0.0,227.8
2020-01-01,1.6000000000000003,229.4
2020-01-02,11.200000000000001,240.6
2020-01-03,5.999999999999999,246.6
2020-01-04,23.30000000000002,269.90000000000003
2020-01-05,39.800000000000026,309.70000000000005
2020-01-06,0.1,309.80000000000007
2020-01-07,0.9999999999999999,310.80000000000007
2020-01-08,46.4,357.20000000000005
2020-01-09,26.300000000000004,383.50000000000006
2020-01-10,0.0,383.50000000000006
2020-01-11,0.1,383.6000000000001
2020-01-12,0.8999999999999999,384.50000000000006
2020-01-13,1.6,386.1000000000001
2020-01-14,0.0,386.1000000000001
2020-01-15,0.6,386.7000000000001
2020-01-16,0.7999999999999999,387.5000000000001
2020-01-17,6.8999999999999995,394.4000000000001
2020-01-18,1.1,395.5000000000001
2020-01-19,31.10000000000001,426.60000000000014
2020-01-20,15.1,441.70000000000016
2020-01-21,6.999999999999997,448.70000000000016
2020-01-22,0.0,448.70000000000016
2020-01-23,5.699999999999998,454.40000000000015
2020-01-24,16.800000000000004,471.20000000000016
2020-01-25,0.0,471.20000000000016
2020-01-26,0.0,471.20000000000016
2020-01-27,0.0,471.20000000000016
2020-01-28,2.1,473.3000000000002
2020-01-29,8.7,482.00000000000017
2020-01-30,0.1,482.1000000000002
2020-01-31,3.3000000000000003,485.4000000000002
2020-02-01,2.3000000000000003,487.7000000000002
2020-02-02,0.2,487.9000000000002
2020-02-03,0.1,488.0000000000002
2020-02-04,0.0,488.0000000000002
2020-02-05,0.1,488.10000000000025
2020-02-06,0.0,488.10000000000025
2020-02-07,10.499999999999996,498.60000000000025
2020-02-08,16.99999999999999,515.6000000000003
2020-02-09,3.400000000000001,519.0000000000002
2020-02-10,0.1,519.1000000000003
2020-02-11,5.2,524.3000000000003
2020-02-12,3.4000000000000017,527.7000000000003
2020-02-13,0.0,527.7000000000003
2020-02-14,0.0,527.7000000000003
2020-02-15,0.0,527.7000000000003
2020-02-16,0.0,527.7000000000003
2020-02-17,0.0,527.7000000000003
2020-02-18,0.4,528.1000000000003
2020-02-19,1.5,529.6000000000003
2020-02-20,0.7999999999999999,530.4000000000002
2020-02-21,6.099999999999999,536.5000000000002
2020-02-22,10.799999999999997,547.3000000000002
2020-02-23,2.1,549.4000000000002
2020-02-24,0.0,549.4000000000002
2020-02-25,11.6,561.0000000000002
2020-02-26,0.0,561.0000000000002
2020-02-27,0.0,561.0000000000002
2020-02-28,0.0,561.0000000000002
2020-02-29,15.699999999999998,576.7000000000003
2020-03-01,5.599999999999998,582.3000000000003
2020-03-02,0.0,582.3000000000003
2020-03-03,0.0,582.3000000000003
2020-03-04,0.0,582.3000000000003
2020-03-05,0.0,582.3000000000003
2020-03-06,4.199999999999999,586.5000000000003
2020-03-07,0.0,586.5000000000003
2020-03-08,0.0,586.5000000000003
